Sexo,Faixa de idade,Impressões,Porcentagem do total conhecido
Masculino,18 a 24,106,"6,27%"
Masculino,25 a 34,285,"16,86%"
Masculino,35 a 44,236,"13,96%"
Masculino,45 a 54,143,"8,46%"
Masculino,55 a 64,39,"2,31%"
Masculino,+65,16,"0,95%"
Feminino,18 a 24,154,"9,11%"
Feminino,25 a 34,302,"17,87%"
Feminino,35 a 44,219,"12,96%"
Feminino,45 a 54,125,"7,40%"
Feminino,55 a 64,31,"1,83%"
Feminino,+65,34,"2,01%"
