Faixa de idade,Impressões,Porcentagem do total conhecido
18 a 24,260,"15,38%"
25 a 34,587,"34,73%"
35 a 44,455,"26,92%"
45 a 54,268,"15,86%"
55 a 64,70,"4,14%"
+65,50,"2,96%"
