Nome do local,Impressões
Acre,6
Alagoas,9
Amapá,2
Amazonas,40
Bahia,74
Brasil,0
Ceará,52
Distrito Federal,43
Espírito Santo,22
Goiás,72
Maranhão,28
Mato Grosso,19
Mato Grosso do Sul,23
Minas Gerais,182
Paraná,128
Paraíba,41
Pará,38
Pernambuco,59
Piauí,16
Rio Grande do Norte,31
Rio Grande do Sul,65
Rio de Janeiro,352
Rondônia,5
Roraima,5
Santa Catarina,103
Sergipe,9
São Paulo,1.077
Tocantins,6
