Hora de início,Impressões
00,58
01,39
02,26
03,11
04,6
05,27
06,48
07,59
08,92
09,133
10,132
11,147
12,167
13,128
14,167
15,159
16,157
17,153
18,147
19,129
20,146
21,167
22,112
23,100
